"loinc", "TFC", "TestName"
1825-9,AAT,Aspergillus antigens ELISA
72160-5,AB12,Active B12
72160-5,AB12,Active B12
72160-5,AB12,Active B12
882-1,ABCD,ABO/RhD confirmation
33203-1,ABET,Abeta 1-42 & Abeta 1-40 ratio
LOC_ESO,ABGA,Anti-Basal Ganglia ab's
27132-0,ACAC,Acetoacetate
3181-5,ACAG,Anti cardiolipin abs(IgG)
3181-5,ACAG,Anti cardiolipin abs(IgG)
3181-5,ACAG,Anti cardiolipin abs(IgG)
3181-5,ACAG,Anti cardiolipin abs(IgG)
3182-3,ACAM,Anti cardiolipin abs(IgM)
3182-3,ACAM,Anti cardiolipin abs(IgM)
3182-3,ACAM,Anti cardiolipin abs(IgM)
3182-3,ACAM,Anti cardiolipin abs(IgM)
7789-1,ACAN,Acathamoeba DNA
14282-8,ACAR,Plasma Acyl Carnitine
20427-1,ACCR,Acetyl Choline Receptor ab
2742-5,ACE,Angiotensin converting enzyme
2742-5,ACE,Angiotensin converting enzyme
2742-5,ACE,Angiotensin converting enzyme
2742-5,ACE,Angiotensin converting enzyme
2742-5,ACEC,Angiotensin converting enzyme
2742-5,ACEC,Angiotensin converting enzyme
12480-0,ACEF,Angiotensin Convt Enzyme CSF
12480-0,ACEF,Angiotensin Convt Enzyme CSF
12480-0,ACEF,Angiotensin Convt Enzyme CSF
12480-0,ACEF,Angiotensin Convt Enzyme CSF
27132-0,ACET,Para (analyser value)
49231-4,ACHE,Red Cell Cholinesterase
49231-4,ACHE,Red Cell Cholinesterase
10652-6,ACHP,Chlamydia pneumoniae PCR
20427-1,ACHR,AchR Cluster
43625-3,ACHR,AchR Cluster
50791-3,ACID,Acid gel electrophoresis pH6.3
3181-5,ACLG,IgG Anticardiolipin antibodies
3182-3,ACLM,IgM Anticardiolipin antibodies
14585-4,ACR,Albumin / creatinine ratio
14585-4,ACR,Albumin / creatinine ratio
20427-1,ACRA,Anti-AChR antibody assay
20427-1,ACRC,Comment:
20427-1,ACRC,Comment:
42216-2,ACRE,Tested by:
2141-0,ACTH,A.C.T.H.
2141-0,ACTH,A.C.T.H.
2141-0,ACTH,A.C.T.H.
2141-0,ACTH,A.C.T.H.
2141-0,ACTH,A.C.T.H.
2141-0,ACTH,A.C.T.H.
9816-0,ACTM,Culture Result
19773-1,ACTN,Guideline Recommendation
57745-2,ACTX,Adrenal antibodies
57745-2,ACTX,Adrenal antibodies
LOC_SAVE,ACUT,Acute serum save
43717-8,ACYL,Acylcarnitine Plasma
43717-8,ACYL,Acylcarnitine Plasma
47826-3,AD,Adenosine Deaminase
5041-9,AD,Adenosine Deaminase
5992-3,AD05,ADP 0.5 uM
5992-3,AD10,ADP10 uM
5041-9,ADAB,Anti-Adalimumab antibody
5041-9,ADAB,Anti-Adalimumab antibody
74116-5,ADAB,Anti-Adalimumab antibody
74117-3,ADAL,Serum Adalimumab
74117-3,ADAL,Serum Adalimumab
74117-3,ADAL,Serum Adalimumab
39528-5,ADEN,Adenovirus Abs
5041-9,ADEN,Adenovirus Abs
5041-9,ADEN,Adenovirus Abs
14949-2,ADH,ADH (arginine vasopressin)
14949-2,ADH,ADH (arginine vasopressin)
14949-2,ADHC,ADH (CT-proAVP)
14949-2,ADHC,ADH (CT-proAVP)
14949-2,ADHC,ADH (CT-proAVP)
2692-2,ADHO,Osmolality (plasma)
47828-9,ADIP,Adiponectin
47828-9,ADIP,Adiponectin
LOC_ESO,ADP,Total ADP
5992-3,ADP1,ADP 1.0 uM
5992-3,ADP2,ADP 2.5 uM
5992-3,ADP5,ADP 5.0 uM
49334-6,ADPC,Adenovirus PCR
14711-6,ADR,Adednosine Deaminase (REFS)
33530-7,ADR1,Adrenalin 1 uM
57745-2,ADRA,Adrenal Antibodies
57745-2,ADRA,Adrenal Antibodies
57745-2,ADRA,Adrenal Antibodies
49334-6,ADV1,ADENOVIRUS Viral Load
49334-6,ADV1,ADENOVIRUS Viral Load
49334-6,ADV2,ADENOVIRUS Viral Load
39528-5,ADVM,Adenovirus DNA
6308-1,ADVP,Adenovirus DNA
39528-5,ADVP,Adenovirus DNA
6308-1,ADVP,Adenovirus DNA
46126-9,AEAB,IgA Ab's to ENDOMYSIUM
46126-9,AEAB,IgA Ab's to ENDOMYSIUM
46126-9,AEAB,IgA Ab's to ENDOMYSIUM
46126-9,AEAB,IgA Ab's to ENDOMYSIUM
22290-1,AEBV,EBv VCA IgA
1886-1,AEP,Apolipoprotein E phenotype
7880-8,AFAT,Amoebic (E.histolytica) Abs
25400-3,AFAT,Amoebic (E.histolytica) Abs
647-8,AFBA,Auramine film
647-8,AFBA,Auramine film
539-7,AFBC,AFB culture
539-7,AFBC,AFB culture
539-7,AFBI,AFB Identification
539-7,AFBI,AFB Identification
539-7,AFBI,AFB Identification
539-7,AFBI,AFB Identification
19176-7,AFP,Alpha Feto Protein
19176-7,AFP,Alpha Feto Protein
19176-7,AFP,Alpha Feto Protein
19176-7,AFP,Alpha Feto Protein
19176-7,AFP,Alpha Feto Protein
19176-7,AFPM,A.F.P. (maternal)
24049-9,AGA,Alpha Galactosidase
20495-8,AGAB,Gliadin Antibodies (IgA)
20495-8,AGAB,Gliadin Antibodies (IgA)
20495-8,AGAB,Gliadin Antibodies (IgA)
13926-1,AGAD,Glutamic Acid Decarboylase Ab
20496-6,AGAG,Gliadin Antibodies (IgG)
20496-6,AGAG,Gliadin Antibodies (IgG)
20496-6,AGAG,Gliadin Antibodies (IgG)
20496-6,AGAG,Gliadin Antibodies (IgG)
20496-6,AGAG,Gliadin Antibodies (IgG)
1813-5,AGAL,Galactosidase - alpha
59394-7,AGBM,GBM ab (IFT)
59394-7,AGBM,GBM ab (IFT)
59394-7,AGBM,GBM ab (IFT)
14749-6,AGLU,Glucosidase - alpha
1759-0,AGR,Albumin/Globulin ratio
1759-0,AGR,Albumin/Globulin ratio
13953-5,AHBE,Anti- Hep Be
13953-5,AHBE,Anti- Hep Be
63557-3,AHBQ,Hep B surface Ag Quantitative
63557-3,AHBQ,Hep B surface Ag Quantitative
63557-3,AHBQ,Hep B surface Ag Quantitative
63557-3,AHBQ,Hep B surface Ag Quantitative
14569-8,AHP,17-hydroxyprogesterone
14569-8,AHPC,17-hydroxyprogesterone (curve)
7107-6,AIC,Aspergillus IgG (ImmunoCAP)
5574-9,AL,Aluminium
14593-8,AL,Aluminium
20662-3,AL01,Individual Allergen 1
20662-3,AL02,Individual Allergen 2
20662-3,AL03,Individual Allergen 3
20662-3,AL04,Individual Allergen 4
20662-3,AL05,Individual Allergen 5
20662-3,AL06,Individual Allergen 6
20662-3,AL07,Individual Allergen 7
20662-3,AL08,Individual Allergen 8
20662-3,AL10,Individual Allergen 10
1751-7,ALB,Albumin
1751-7,ALB,Albumin
1751-7,ALB,Albumin
1751-7,ALB,Albumin
1751-7,ALB,Albumin
1755-8,ALBE,Urine Albumin excretion
2862-1,ALBG,Albumin (electrophoresis)
13980-8,ALBP,"  Albumin"
13980-8,ALBP,"  Albumin"
13980-8,ALBP,"  Albumin"
13980-8,ALBP,"  Albumin"
14719-9,ALCO,Plasma Alcohol (medical)
14719-9,ALCO,Plasma Alcohol (medical)
14719-9,ALCO,Plasma Alcohol (medical)
14719-9,ALCO,Plasma Alcohol (medical)
14586-2,ALDF,Plasma Aldosterone
14586-2,ALDN,ALDOSTERONE
14586-2,ALDN,ALDOSTERONE
14586-2,ALDN,ALDOSTERONE
1761-6,ALDO,Aldolase
1761-6,ALDO,Aldolase
1761-6,ALDO,Aldolase
1761-6,ALDO,Aldolase
14586-2,ALDO,Aldolase
20662-3,ALEC,Eczema Provoking Profile
20662-3,ALEC,Eczema Provoking Profile
20662-3,ALEC,Eczema Provoking Profile
21363-7,ALEP,Legonella pneumophila PCR
2469-5,ALG4,IgG4 Antibodies
2469-5,ALG4,IgG4 Antibodies
LOC_SAVE,ALIQ,Number of aliquots saved
9838-4,ALKM,LKM antibodies
9838-4,ALKM,LKM antibodies
14272-9,ALKM,LKM antibodies
14272-9,ALKM,LKM antibodies
20662-3,ALLC,Individual Allergen
20662-3,ALLC,Individual Allergen
20662-3,ALLC,Individual Allergen
20662-3,ALLC,Individual Allergen
20662-3,ALLE,Individual Allergy Screen
20662-3,ALLE,Individual Allergy Screen
20662-3,ALLE,Individual Allergy Screen
20662-3,ALMD,Mediterranean Allergy Profile
20662-3,ALME,Middle East Allergy Profile
20662-3,ALME,Middle East Allergy Profile
6768-6,ALP,Alkaline Phosphatase
6768-6,ALP,Alkaline Phosphatase
6768-6,ALP,Alkaline Phosphatase
6768-6,ALP,Alkaline Phosphatase
6768-6,ALP,Alkaline Phosphatase
6768-6,ALP,Alkaline Phosphatase
1886-1,ALPE,Apolipoprotein E
12805-8,ALPI,Alk phos isoenzymes
12805-8,ALPI,Alk phos isoenzymes
20662-3,ALRN,Rhinitis Provoking Profile
20662-3,ALRN,Rhinitis Provoking Profile
20662-3,ALRN,Rhinitis Provoking Profile
31614-1,ALRR,Aldosterone Reference ranges
1743-4,ALT,Alanine Transaminase
1743-4,ALT,Alanine Transaminase
1743-4,ALT,Alanine Transaminase
1743-4,ALT,Alanine Transaminase
1743-4,ALT,Alanine Transaminase
1743-4,ALT,Alanine Transaminase
1743-4,ALTS,ALT
14593-8,ALU,Aluminium
14593-8,ALU,Aluminium
20662-3,ALUK,UK Allergy Profile
20662-3,ALUK,UK Allergy Profile
20662-3,ALUK,UK Allergy Profile
14593-8,ALUM,Aluminium
20656-5,AM12,ANTI AMPA1/2 and GABA Rec. Abs
48377-6,AMH,Anti-Mullerian Hormone
48377-6,AMH,Anti-Mullerian Hormone
38476-8,AMH,Anti-Mullerian Hormone
48377-6,AMH,Anti-Mullerian Hormone
48377-6,AMH,Anti-Mullerian Hormone
38476-8,AMHC,Anti-Mullerian Hormone(ng/mL)
38476-8,AMHC,Anti-Mullerian Hormone(ng/mL)
38476-8,AMHC,Anti-Mullerian Hormone(ng/mL)
48377-6,AMHN,Anti-Mullerian
48377-6,AMHR,Anti-Mullerian Hormone
48377-6,AMHR,Anti-Mullerian Hormone
48377-6,AMHR,Anti-Mullerian Hormone
48377-6,AMHR,Anti-Mullerian Hormone
14589-6,AMI,Amitriptyline
56628-1,AMIK,Amikacin Levels
56628-1,AMIK,Amikacin Levels
56628-1,AMIK,Amikacin Levels
56628-1,AMIK,Amikacin Levels
56628-1,AMIK,Amikacin Levels
56628-1,AMIK,Amikacin Levels
56628-1,AMIL,AMIKACIN LEVEL
56628-1,AMIL,AMIKACIN LEVEL
12468-5,AMIN,AMINO ACIDS (Blood)
12468-5,AMIN,AMINO ACIDS (Blood)
17284-1,AMIT,Mitochondrial Abs
17284-1,AMIT,Mitochondrial Abs
17284-1,AMIT,Mitochondrial Abs
17284-1,AMIT,Mitochondrial Abs
16362-6,AMMO,Ammonia
16362-6,AMMO,Ammonia
16362-6,AMMO,Ammonia
16362-6,AMMO,Ammonia
16362-6,AMMO,Ammonia
22285-1,AMO,Amoebic IFAT
33422-7,AMPA,Amphiphysin Ab
19269-0,AMPC,"   Amphetamine"
19261-7,AMPH,Amphotericin
19261-7,AMPH,Amphotericin
LOC_ESO,AMTM,Nortryptiline
3872-9,AMTM,Nortryptiline
LOC_ESO,AMTR,Amitryptyline
3333-2,AMTR,Amitryptyline
3335-7,AMTX,Total of above
3330-8,AMX1,AMIODARONE
3330-8,AMX1,AMIODARONE
6774-4,AMX2,DESETHYLAMIODARONE
6774-4,AMX2,DESETHYLAMIODARONE
1798-8,AMY,Amylase
1798-8,AMY,Amylase
1798-8,AMY,Amylase
1798-8,AMY,Amylase
1798-8,AMY,Amylase
1798-8,AMY,Amylase
14589-6,AMYI,Amylase Isoenzymes
14589-6,AMYI,Amylase Isoenzymes
14589-6,AMYI,Amylase Isoenzymes
LOC_ESO,ANA,Anti Nicotinic acid antibodies
5048-4,ANA,Anti Nicotinic acid antibodies
5048-4,ANAB,Antinuclear Ab(Hep 2)
5048-4,ANAB,Antinuclear Ab(Hep 2)
33609-9,ANAB,Antinuclear Ab(Hep 2)
5048-4,ANAB,Antinuclear Ab(Hep 2)
5048-4,ANAB,Antinuclear Ab(Hep 2)
13068-2,ANAP,Antinuclear Ab pattern
13068-2,ANAP,Antinuclear Ab pattern
13068-2,ANAP,Antinuclear Ab pattern
42216-2,ANAR,Tested by
13068-2,ANAT,Antinuclear Ab titre
5048-4,ANAT,Antinuclear Ab titre
5048-4,ANAT,Antinuclear Ab titre
51924-9,ANCA,Anti neut.cytoplasmic Ab
51924-9,ANCA,Anti neut.cytoplasmic Ab
51924-9,ANCA,Anti neut.cytoplasmic Ab
51924-9,ANCA,Anti neut.cytoplasmic Ab
51924-9,ANCA,Anti neut.cytoplasmic Ab
51924-9,ANCA,Anti neut.cytoplasmic Ab
51924-9,ANCP,ANCA Pattern
51924-9,ANCP,ANCA Pattern
14603-5,AND,Androstenedione
14603-5,ANDR,Androstenedione
14603-5,ANDR,Androstenedione
14603-5,ANDR,Androstenedione
14603-5,ANDR,Androstenedione
14603-5,ANDR,Androstenedione
LOC_ESO,ANG,Angiotensin
1860-6,ANG2,ANGIOTENSIN II
5946-9,AP50,APTT 50:50 NP:TP
5946-9,AP50,APTT 50:50 NP:TP
74520-8,AP50,APTT 50:50 NP:TP
74520-8,AP50,APTT 50:50 NP:TP
27214-6,APAB,ANTI-PURKINJE CELL ANTIBODY
27214-6,APAB,ANTI-PURKINJE CELL ANTIBODY
19145-2,APAW,APOA (REFS)
1871-3,APB,Apolipoprotein B100
52750-7,APC,Act Prot C resistance
52750-7,APCR,Adenovirus PCR
52750-7,APCR,Adenovirus PCR
LOC_ESO,APCR,Adenovirus PCR
52750-7,APCR,Adenovirus PCR
21619-2,APEG,APO E Genotype
21619-2,APEG,APO E Genotype
12805-8,APIE,ALK PHOS ISOENZYMES
12805-8,APIE,ALK PHOS ISOENZYMES
12805-8,APIE,ALK PHOS ISOENZYMES
12805-8,APIE,ALK PHOS ISOENZYMES
72608-3,APIX,Anti-Xa (Apixaban)
1869-7,APOA,Apolipoprotein A1
1869-7,APOA,Apolipoprotein A1
1869-7,APOA,Apolipoprotein A1
1869-7,APOB,Apolipoprotein B
1869-7,APOB,Apolipoprotein B
1869-7,APOB,Apolipoprotein B
1884-6,APOB,Apolipoprotein B
1886-1,APOE,Apolipoprotein E
1886-1,APOE,Apolipoprotein E
1886-1,APOE,Apolipoprotein E
5899-0,APRA,APTT Ratio
1874-7,APRC,Apolip B / Apolip A ratio
1874-7,APRC,Apolip B / Apolip A ratio
40684-3,APRE,Cytology Report
47527-7,APRE,Cytology Report
13069-0,APSA,Anti-phosph. serine IgA
14245-5,APSG,Anti-phosph. serine IgG
14246-3,APSM,Anti-phosph. serine IgM
14979-9,APT1,APTT
14979-9,APT1,APTT
5946-9,APTM,APTT 50/50 mix
5899-0,APTR,APTT Ratio
5899-0,APTR,APTT Ratio
5899-0,APTR,APTT Ratio
5899-0,APTR,APTT Ratio
5899-0,APTR,APTT Ratio
14979-9,APTT,APTT (PTTK)
14979-9,APTT,APTT (PTTK)
14979-9,APTT,APTT (PTTK)
14979-9,APTT,APTT (PTTK)
14979-9,APTT,APTT (PTTK)
43638-6,AQ4,NMO Aquaporin-4 antibodies
43638-6,AQUA,Aquaporin 4 antibodies - Serum
43638-6,AQUA,Aquaporin 4 antibodies - Serum
43638-6,AQUA,Aquaporin 4 antibodies - Serum
46718-3,AQUC,Aquaporin 4 antibodies - CSF
44074-3,ARBO,Arbovirus antibodies
44074-3,ARBO,Arbovirus antibodies
44074-3,ARBO,Arbovirus antibodies
20427-1,ARCA,ACETYLCHOLINE RECEPTOR AB
20427-1,ARCA,ACETYLCHOLINE RECEPTOR AB
13463-5,ARCR,ACETYCHOLINE RECEP. ABS (refs)
888-8,AREP,Antibody Report
14196-0,ARET,Reticulocyte Absolute Count
42246-9,ARHB,Haemoglobin F
42246-9,ARHB,Haemoglobin F
42246-9,ARHB,Haemoglobin F
42246-9,ARHB,Haemoglobin F
LOC_ESO,ARI,Anti-Ri
30894-0,ARR,Anti-Retroviral Resistance
14586-2,ARR,Anti-Retroviral Resistance
30894-0,ARRA,Aldosterone/Renin Ratio
15114-2,ARS,Arsenic (Blood)
15114-2,ARS,Arsenic (Blood)
15115-9,ARSE,Arsenic  (urine)
15115-9,ARSE,Arsenic  (urine)
15114-2,AS,Arsenic
26671-8,ASC,Ascariasis Serology
31032-6,ASC1,Saccharomyces Cerevisiae Ab's
31032-6,ASCA,Index IgA
35538-8,ASCG,Index IgG
49222-3,ASFO,Allergy Screen (Foods)
20662-3,ASIN,Allergy Screen (Inhalants)
26971-2,ASMO,Smooth muscle antibodies
26971-2,ASMO,Smooth muscle antibodies
26971-2,ASMO,Smooth muscle antibodies
26971-2,ASMO,Smooth muscle antibodies
22568-0,ASOR,ASO Titre result
22568-0,ASOU,Anti-streptolysin O Titre
22568-0,ASOU,Anti-streptolysin O Titre
7808-9,ASP,Aspergillus precipitins
58914-3,ASP2,Aspergillus niger IgG
26954-8,ASP2,Aspergillus niger IgG
58914-3,ASP2,Aspergillus niger IgG
26954-8,ASP3,Aspergillus fumigatus IgG
26954-8,ASP3,Aspergillus fumigatus IgG
49863-4,ASPF,Aspergillus PCR - Fluid
58914-3,ASPP,Aspergillus PCR
49863-4,ASPP,Aspergillus PCR
42216-2,ASPR,Specimen tested by:
30239-8,AST,Aspartate Transaminase
30239-8,AST,Aspartate Transaminase
30239-8,AST,Aspartate Transaminase
30239-8,AST,Aspartate Transaminase
30239-8,AST,Aspartate Transaminase
30239-8,AST,Aspartate Transaminase
69938-9,ASTP,Astrovirus genome
48418-8,ASTT,Anti-Staphylolysin Titre
48418-8,ASTT,Anti-Staphylolysin Titre
48418-8,ASTT,Anti-Staphylolysin Titre
12728-2,ASUB,Alpha-subunit
3174-0,AT3,Antithrombin 111 antigen
3175-7,ATAG,Antithrombin Antigen
3175-7,ATAG,Antithrombin Antigen
55234-9,ATM,Alpha Thalassaemia - multiplex
29257-3,ATPC,Mycoplasma pneumoniae PCR
LOC_ESOGEN,ATPH,Alpha-1-antitrypsin phenotype
6770-2,ATPH,Alpha-1-antitrypsin phenotype
6770-2,ATPH,Alpha-1-antitrypsin phenotype
LOC_ESO,ATPT,ATPC positive target CT
647-8,AURC,Auramine stain
19769-9,AUTH,Authorised
LOC_ESO,AV1,Duck Feathers IgG
56250-4,AV1,Duck Feathers IgG
LOC_ESO,AV10,Budgerigar Droppings IgG
38368-7,AV11,Pigeon Droppings IgG
38368-7,AV11,Pigeon Droppings IgG
38368-7,AV11,Pigeon Droppings IgG
LOC_ESO,AV2,Finch Feathers IgG
78366-2,AV3,Goose Feathers IgG
78366-2,AV3,Goose Feathers IgG
78366-2,AV3,Goose Feathers IgG
LOC_ESO,AV4,Chicken Droppings IgG
58911-9,AV4,Chicken Droppings IgG
58911-9,AV4,Chicken Droppings IgG
58913-5,AV5,Budgerigar Feathers IgG
58912-7,AV6,Chicken Feathers IgG
58911-9,AV7,Parrot Feathers IgG
58913-5,AV7,Parrot Feathers IgG
58913-5,AV7,Parrot Feathers IgG
58916-8,AV8,Pigeon Feathers IgG
58912-7,AV8,Pigeon Feathers IgG
58912-7,AV8,Pigeon Feathers IgG
LOC_ESO,AV9,Canary Bird Feathers IgG
58916-8,AV9,Canary Bird Feathers IgG
58916-8,AV9,Canary Bird Feathers IgG
42216-2,AVAR,Specimen tested by:
LOC_ESO,AVCM,Comment
3167-4,AVOL,Acidified 24hr Urine Volume
3167-4,AVOL,Acidified 24hr Urine Volume
32732-0,B1,"  Beta 1 Globulins"
32732-0,B1,"  Beta 1 Globulins"
32732-0,B1,"  Beta 1 Globulins"
14685-2,B12,B12
14685-2,B12,B12
14682-9,B12,B12
14685-2,B12,B12
32732-0,B1G,Beta-1-globulins %
32730-4,B1GG,Beta-1-globulins
32733-8,B2,"  Beta 2 Globulins"
32733-8,B2,"  Beta 2 Globulins"
32733-8,B2,"  Beta 2 Globulins"
32733-8,B2G,Beta-2-globulins %
